"","V1"
"1","DKK1"
"2","CAMK2N1"
"3","STC2"
"4","PGK1"
"5","SURF4"
"6","USP10"
"7","NDFIP1"
"8","FOXA2"
"9","STIP1"
"10","DKC1"
