"","gene_id","p_value","p_value_adj_FDR"
"15345","RSPO4",0.00114511666666667,0.049942067046961
"1093","ASNS",0.0011475,0.049942067046961
"7692","HEATR2",0.0011537,0.049942067046961
"19626","XCL2",0.0011613,0.049942067046961
"3761","CIRH1A",0.00116412,0.049942067046961
"47","ABCB1",0.0011703,0.049942067046961
"5155","DPRXP4",0.00120272727272727,0.049942067046961
"3971","CNTD1",0.001204,0.049942067046961
"3031","CCBL2",0.00120745,0.049942067046961
"4195","CREB3L3",0.00121417142857143,0.049942067046961
"15707","SEMA5A",0.00121512903225806,0.049942067046961
"2915","CAPN10",0.00121741463414634,0.049942067046961
"8388","IL23A",0.001221,0.049942067046961
"4215","CRIPAK",0.001242,0.049942067046961
"1397","BCAR3",0.00124832,0.049942067046961
"8592","ITFG1",0.00125766666666667,0.049942067046961
"16149","SLC23A1",0.00126,0.049942067046961
"14073","PRMT5",0.00127771428571429,0.049942067046961
"16456","SMAD6",0.00128816,0.049942067046961
"13147","PDIA3P",0.0012909375,0.049942067046961
"3315","CD34",0.00129428571428571,0.049942067046961
"8639","ITPK1",0.00129545454545455,0.049942067046961
"12200","NUP37",0.00132179310344828,0.049942067046961
"19486","WDR37",0.001328,0.049942067046961
"20132","ZNF439",0.0013288,0.049942067046961
"8852","KDM2B",0.00135152941176471,0.049942067046961
"13047","PCF11",0.0013612,0.049942067046961
"15701","SEMA4A",0.00138461538461538,0.049942067046961
"3063","CCDC130",0.00138571428571429,0.049942067046961
"3165","CCDC86",0.00139370833333333,0.049942067046961
"6636","FRMD5",0.00142303225806452,0.049942067046961
"11057","MOXD1",0.00142564705882353,0.049942067046961
"20168","ZNF493",0.0014276,0.049942067046961
"9527","LHX1",0.00144,0.049942067046961
"16508","SMPX",0.0014608,0.049942067046961
"20216","ZNF558",0.00147595652173913,0.049942067046961
"10492","MAK",0.00148065217391304,0.049942067046961
"18338","TMLHE",0.001483125,0.049942067046961
"15786","SERPINE1",0.00148360975609756,0.049942067046961
"5240","DUSP16",0.00149136585365854,0.049942067046961
"18396","TNFRSF19",0.00150913043478261,0.049942067046961
"20437","ZNF880",0.00151433333333333,0.049942067046961
"8407","IL34",0.00152379487179487,0.049942067046961
"17698","TBC1D3B",0.00155914285714286,0.049942067046961
"18083","TMC8",0.00156423076923077,0.049942067046961
"3112","CCDC39",0.0015906,0.049942067046961
"19719","ZAP70",0.00159661818181818,0.049942067046961
"20212","ZNF554",0.001616375,0.049942067046961
"14046","PRKCH",0.00161641666666667,0.049942067046961
"4495","CYB5B",0.00164482352941176,0.049942067046961
"577","ALX4",0.00168477777777778,0.049942067046961
"4424","CUL9",0.00171263414634146,0.049942067046961
"12744","OSR2",0.00171533333333333,0.049942067046961
"3281","CD19",0.00172036363636364,0.049942067046961
"258","ADAM33",0.00173090909090909,0.049942067046961
"13517","PLAU",0.00174032258064516,0.049942067046961
"18070","TM9SF2",0.00174257142857143,0.049942067046961
"4314","CSRP2",0.001745,0.049942067046961
"20077","ZNF345",0.001749,0.049942067046961
"10101","LOC723972",0.00176815151515152,0.049942067046961
"7345","GPR89B",0.0017958,0.049942067046961
"876","AREG",0.001798,0.049942067046961
"18097","TMED2",0.00181764705882353,0.049942067046961
"18602","TRIB3",0.001826,0.049942067046961
"12140","NTRK1",0.00183851612903226,0.049942067046961
"16203","SLC26A1",0.00185820895522388,0.049942067046961
"5914","FAM151B",0.00187986206896552,0.049942067046961
"18842","TTC39C",0.00189977777777778,0.049942067046961
"1026","ARRDC5",0.0019007,0.049942067046961
"3968","CNR2",0.00190333846153846,0.049942067046961
"5449","EIF3D",0.00191911764705882,0.049942067046961
"9799","LOC151009",0.00192176923076923,0.049942067046961
"6679","FUBP3",0.0019272,0.049942067046961
"1298","B3GALT2",0.001932,0.049942067046961
"14250","PSMD5",0.001938,0.049942067046961
"7831","HIST1H3F",0.001968,0.049942067046961
"3300","CD27",0.00200902564102564,0.049942067046961
"20211","ZNF552",0.0020126,0.049942067046961
"5539","EML6",0.00202531428571429,0.049942067046961
"10596","MARCH2",0.00203832558139535,0.049942067046961
"16360","SLC5A9",0.00205848,0.049942067046961
"10035","LOC606724",0.0020845,0.049942067046961
"20426","ZNF844",0.00208769230769231,0.049942067046961
"14647","RASIP1",0.002091,0.049942067046961
"17610","TAF7",0.002106,0.049942067046961
"20365","ZNF763",0.00210958333333333,0.049942067046961
"290","ADAP1",0.00212820512820513,0.049942067046961
"18623","TRIM32",0.002158,0.049942067046961
"8888","KIAA0125",0.00216776470588235,0.049942067046961
"5322","ECHDC2",0.00219260714285714,0.049942067046961
"3168","CCDC88B",0.00219548387096774,0.049942067046961
"3277","CD164L2",0.00219594285714286,0.049942067046961
"20354","ZNF737",0.00219621052631579,0.049942067046961
"17138","SPOCK1",0.00220093023255814,0.049942067046961
"11199","MS4A2",0.00222171428571429,0.049942067046961
"6090","FAM65C",0.00222590909090909,0.049942067046961
"6983","GIGYF1",0.002235875,0.049942067046961
"1539","BOC",0.00224324324324324,0.049942067046961
"3253","CCR7",0.00224903225806452,0.049942067046961
"6695","FUT6",0.00225333333333333,0.049942067046961
"5942","FAM167A",0.00228375,0.049942067046961
"7865","HK1",0.00228614035087719,0.049942067046961
"11563","NCALD",0.00230447058823529,0.049942067046961
"17320","STAMBP",0.00230520754716981,0.049942067046961
"9432","LCLAT1",0.002402625,0.049942067046961
"16562","SNHG12",0.002416,0.049942067046961
"20318","ZNF684",0.00241733333333333,0.049942067046961
"19200","URGCP",0.00241875,0.049942067046961
"10011","LOC441089",0.0024433125,0.049942067046961
"7769","HIBADH",0.00246446153846154,0.049942067046961
"13290","PGRMC1",0.00250747368421053,0.049942067046961
"178","ACRC",0.0025228,0.049942067046961
"20017","ZNF259",0.00253555555555556,0.049942067046961
"19346","VILL",0.00253611111111111,0.049942067046961
"9676","LOC100130872",0.00254253164556962,0.049942067046961
"18363","TMSB4Y",0.00254983606557377,0.049942067046961
"18391","TNFRSF13B",0.0025564,0.049942067046961
"2845","CACNB2",0.00259484210526316,0.049942067046961
"14549","RAD23B",0.00259605769230769,0.049942067046961
"4137","CPEB3",0.0026,0.049942067046961
"17025","SPACA4",0.00262,0.049942067046961
"13758","POMP",0.00262581818181818,0.049942067046961
"9919","LOC338799",0.00262842105263158,0.049942067046961
"17547","SYT14",0.00264355,0.049942067046961
"19694","YPEL1",0.0026505,0.049942067046961
"13060","PCMT1",0.00265545454545455,0.049942067046961
"13830","PPFIBP2",0.00270274468085106,0.049942067046961
"18462","TOMM34",0.00270912,0.049942067046961
"15690","SELP",0.00274666666666667,0.049942067046961
"7320","GPR44",0.00275245901639344,0.049942067046961
"7207","GP5",0.00277056,0.049942067046961
"9169","KL",0.00277816666666667,0.049942067046961
"20235","ZNF577",0.0027805,0.049942067046961
"2952","CARS2",0.00282115384615385,0.049942067046961
"13300","PHB",0.00283168421052632,0.049942067046961
"20377","ZNF775",0.00284966666666667,0.049942067046961
"16118","SLC1A2",0.0028798,0.049942067046961
"16158","SLC25A10",0.00288194444444444,0.049942067046961
"5623","EPHX3",0.00289378378378378,0.049942067046961
"18316","TMEM87B",0.00290683333333333,0.049942067046961
"7398","GRIA3",0.002908125,0.049942067046961
"20010","ZNF250",0.0029095,0.049942067046961
"9356","LAIR2",0.00292135593220339,0.049942067046961
"445","AIG1",0.00296428571428571,0.049942067046961
"20338","ZNF708",0.00301636363636364,0.049942067046961
"17701","TBC1D3H",0.00302133333333333,0.049942067046961
"11846","NIP7",0.00302184615384615,0.049942067046961
